2026-05-09 01:55:42 | INFO     | backend.api | process_project | Processing started: project_id=2, filename='synth-switch_v5-4.pdf', content_type='application/pdf'
2026-05-09 01:55:42 | DEBUG    | backend.api | process_project | File read into memory: 271239 bytes
2026-05-09 01:55:42 | DEBUG    | backend.api | process_project | PDF saved to disk: /app/data/uploads/project_2.pdf
2026-05-09 01:55:42 | DEBUG    | backend.services | run_pipeline | Pipeline env URLs — OCR: http://ocr:8001/process | Extractor: http://extractor:8002/extract | Validator: http://validator:8003/validate
2026-05-09 01:55:42 | INFO     | backend.services | run_pipeline | Step 1/3 — Calling OCR service for file='synth-switch_v5-4.pdf' (271239 bytes)
2026-05-09 01:55:42 | INFO     | backend.services | run_pipeline | OCR completed in 0.01s — extracted 1828 characters.
2026-05-09 01:55:42 | INFO     | backend.services | run_pipeline | Step 2/3 — Calling Extractor service.
2026-05-09 01:55:42 | INFO     | backend.services | run_pipeline | Extractor completed in 0.05s — format='Switch Invoice'.
2026-05-09 01:55:42 | INFO     | backend.services | run_pipeline | Step 3/3 — Calling Validator service.
2026-05-09 01:55:42 | INFO     | backend.services | run_pipeline | Validator completed in 0.02s — is_valid=True.
2026-05-09 01:55:42 | INFO     | backend.services | run_pipeline | Pipeline finished successfully for file='synth-switch_v5-4.pdf'.
2026-05-09 01:55:42 | INFO     | backend.api | process_project | Pipeline completed for project_id=2 in 0.10s
2026-05-09 01:55:42 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:55:43 | DEBUG    | backend.api | get_project | Fetching project_id=2
2026-05-09 01:55:43 | DEBUG    | backend.api | get_project | Project fetched: project_id=2, has_data=True
2026-05-09 01:55:43 | DEBUG    | backend.database | get_db | Database session closed.
